shop,pref,ward,stations,genre,genres,tabelog_score,awards,feature,source_url
大分ラーメン ヌードルワークス 茅ヶ崎店,神奈川県,湘南・県西,湘南・県西・茅ケ崎駅,大分豚骨,豚骨・博多,3.63,,『たまがった』出身、濃厚まろやか、北口2〜3分,https://tabelog.com/kanagawa/A1404/A140406/14056503
くまもとらーめん ブッダガヤ,神奈川県,湘南・県西,湘南・県西・小田原駅,熊本ラーメン,その他・創作,3.63,,小田原エリア最高評価（緑町・小田原圏）,https://tabelog.com/ramen/kanagawa/A1409/A140901/rank
葱次郎,埼玉県,さいたま市北部,さいたま市北部・大宮駅,醤油,醤油・中華そば,3.62,,焦がしネギの香ばしさ、ネギチャーハンも名物,https://tabelog.com/saitama/A1101/A110101/11031408
きくちひろき,埼玉県,埼玉,埼玉・熊谷駅,牛骨清湯 中華そば,醤油・中華そば,3.62,,「一条流がんこ」出身、牛骨スープ、駅6分・月木休・行列,https://tabelog.com/saitama/A1105/A110501/11002991
麺屋 あがら,埼玉県,川口・蕨・戸田,川口・蕨・戸田・戸田公園駅 / 戸田駅 / 北戸田駅,和歌山ラーメン（豚骨醤油）,豚骨・博多/醤油・中華そば/ご当地・地域系,3.62,,王道の和歌山流、当市トップ級、戸田公園7分,https://tabelog.com/saitama/A1102/A110202/R6748/rstLst/ramen
㐂九八 エキチカ（きくはち）,埼玉県,西武沿線エリア,西武沿線エリア・所沢駅,ラーメン・つけ麺・油そば,つけ麺/油そば・まぜそば・汁なし,3.62,,稲庭風の手もみ中華麺、駅3分,https://tabelog.com/ramen/saitama/A1106/A110601/rank
らーめん こてつ,埼玉県,西武沿線エリア,西武沿線エリア・新所沢駅,ラーメン,その他・創作,3.62,,濃厚豚骨×中太麺、駅3分,https://tabelog.com/saitama/A1106/A110601/R5234/rstLst/ramen
蓮爾（はすみ）新町一丁目店,東京都,世田谷区,世田谷区・駒沢大学駅,二郎系,二郎・二郎系,3.62,,極太麺のボリューム系,https://tabelog.com/ramen/tokyo/A1317/A131707/rank
貝出汁中華そば くらむ,東京都,世田谷区,世田谷区・二子玉川駅,貝出汁中華そば,貝・魚介系/醤油・中華そば,3.62,,エリア1位、貝の旨味,https://tabelog.com/ramen/tokyo/A1317/A131708/rank
東京駅 斑鳩,東京都,中央区,中央区・東京駅,ラーメン,その他・創作,3.62,,動物系×魚介のWスープ,https://tabelog.com/tokyo/A1302/A130201/13124609
昭和,東京都,中央区,中央区・新富町駅,塩（鶏ガラ）,塩,3.62,,ガーリック効いた黄金色の鶏ガラ塩（八丁堀）,https://tabelog.com/tokyo/A1302/A130203/13045473
らぁめん 希いろ,東京都,中野区,中野区・中野坂上駅,鯛白湯煮干し塩・鶏白湯,煮干し/鶏白湯/貝・魚介系/塩,3.62,,2025年10月開店の新鋭／A1出口1分,https://tabelog.com/tokyo/A1319/A131903/13314522
輝道家 水道橋駅前店,東京都,千代田区,千代田区・水道橋駅,家系,家系,3.62,,直系系統の濃厚豚骨醤油,https://tabelog.com/ramen/tokyo/A1310/A131003/rank
ボニート・ボニート,東京都,品川区,品川区・武蔵小山駅,ラーメン（無化調）,その他・創作,3.62,,高知県産カツオの「あらびき」、エリア1位,https://tabelog.com/tokyo/A1317/A131710/13020897
ラーメン家 がんくろ,東京都,品川区,品川区・武蔵小山駅,ラーメン,その他・創作,3.62,,地元定番の人気店,https://tabelog.com/ramen/tokyo/A1317/A131710/rank
麺屋 木ノ下,東京都,墨田区,墨田区・押上〈スカイツリー前〉駅,椎茸出汁ワンタン麺,ワンタン麺,3.62,,餡たっぷりの手包みワンタン／駅3分,https://tabelog.com/tokyo/A1312/A131203/13273464
用心棒 本号,東京都,文京区,文京区・東大前駅,二郎系,二郎・二郎系,3.62,,濃厚豚骨醤油＋極太麺、まぜそばも／駅1分,https://tabelog.com/tokyo/A1310/A131004/13116286
大勝軒 飯田橋,東京都,新宿区,新宿区・飯田橋駅,つけ麺,つけ麺,3.62,,老舗系つけ麺,https://tabelog.com/ramen/tokyo/A1309/A130905/rank
下頭橋（げどばし）ラーメン,東京都,板橋区,板橋区・上板橋駅,背脂チャッチャ系,その他・創作,3.62,,環七ルーツの伝説店、「背脂100%」裏メニュー／駅8-10分,https://tabelog.com/tokyo/A1322/A132203/13015790
支那そば 晴弘,東京都,江東区,江東区・越中島駅・潮見駅・新木場駅,淡麗清湯,醤油・中華そば,3.62,,鶏ガラ＋昆布鰹（越中島／門前仲町圏）,https://tabelog.com/tokyo/A1313/A131303/13008015
麺尊 RAGE 麻布台ヒルズ,東京都,港区,港区・神谷町駅,軍鶏そば・煮干し,煮干し,3.62,,西荻「麺尊RAGE」の新店／麻布台ヒルズB1,https://tabelog.com/tokyo/A1307/A130704/13291538
らーめん 三極志,東京都,荒川区,荒川区・三河島駅 / 荒川区・新三河島駅,創作・貝出汁・二郎系,二郎・二郎系/貝・魚介系,3.62,,週・季節替わりの創作麺が名物,https://tabelog.com/tokyo/A1324/A132401/13228015
中華そば 虎桜（こざくら）,東京都,荒川区,荒川区・町屋駅,中華そば・つけ麺,つけ麺/醤油・中華そば,3.62,,黒（生姜醤油）／白（白醤油魚介）,https://tabelog.com/tokyo/A1324/A132401/13187458
中華そば 一颯（いぶき）,東京都,葛飾区,葛飾区・新小岩駅,煮干し系,煮干し,3.62,,上品な煮干しラーメン／つけ麺の地元定番,https://tabelog.com/tokyo/A1312/A131204/13171070
たまがった 横浜西口店,神奈川県,横浜中心部,横浜中心部,豚骨,豚骨・博多,3.62,,本場系豚骨、6段階の茹で、深夜営業（平沼橋寄り）,https://tabelog.com/ramen/kanagawa/A1401/A140101/rank
極楽汁麺 らすた,神奈川県,横浜北部,横浜北部・日吉駅,ラーメン,その他・創作,3.62,,慶應生に愛される人気店,https://tabelog.com/ramen/kanagawa/A1401/A140204/rank
支那蕎麦屋 藤花,神奈川県,横浜北部,横浜北部・センター北駅 / センター南駅 / 仲町台駅,淡麗醤油,醤油・中華そば,3.62,,奥深い旨味の淡麗系（仲町台）,https://tabelog.com/kanagawa/A1401/A140203/14099192
麺屋 BISQ,神奈川県,湘南・県西,湘南・県西・茅ケ崎駅,ラーメン・つけ麺,つけ麺,3.62,,南口1分、「塩つけ麺プレミアム」,https://tabelog.com/ramen/kanagawa/A1404/A140406/rank
とらきち家,神奈川県,湘南・県西,湘南・県西・平塚駅,家系,家系,3.62,,横浜から移転再開、化調不使用の濃いめ醤油、西口4分,https://tabelog.com/kanagawa/A1404/A140407/14098007
らぁ麺 桃の屋,神奈川県,湘南・県西,湘南・県西・小田原駅,ラーメン（和風）,その他・創作,3.62,,鶏ガラ×魚介の上品な「和のラーメン」、東口5分,https://tabelog.com/ramen/kanagawa/A1409/A140901/rank
塩つけ麺 めいげんそ,埼玉県,越谷・草加・春日部,越谷・草加・春日部・新越谷駅,つけ麺・ラーメン,つけ麺,3.61,,高架下の人気店、塩つけ麺・濃厚つけ麺、南越谷28m,https://tabelog.com/saitama/A1102/A110203/R9613/rstLst/ramen
絢（あえん）,東京都,世田谷区,世田谷区・祖師ヶ谷大蔵駅,塩ラーメン,塩,3.61,,淡麗塩の名店（成城学園前）,https://tabelog.com/ramen/tokyo/A1318/A131814/rank
セアブラーメン 東中八,東京都,中央区,中央区・京橋駅,背脂系,その他・創作,3.61,,背脂の実力店（宝町）,https://tabelog.com/tokyo/A1302/A130203/13304916
焼きあご塩らー麺 たかはし 銀座店,東京都,中央区,中央区・東銀座駅,塩,塩,3.61,,焼きあご出汁の塩,https://tabelog.com/tokyo/A1301/A130101/13212146
中華そば はし本,東京都,中央区,中央区・水天宮前駅,中華そば,醤油・中華そば,3.61,,評価の高い中華そば,https://tabelog.com/tokyo/A1302/A130204/13279477
らぁ麺 ようざん,東京都,北区,北区・北赤羽駅・浮間舟渡駅,味噌専門,味噌,3.61,,鶏ガラ豚骨＋3種味噌、赤羽「夏海」出身／浮間舟渡10分,https://tabelog.com/tokyo/A1323/A132305/13303772
江戸前煮干中華そば きみはん 総本店,東京都,台東区,台東区・鶯谷駅,煮干し,煮干し,3.61,,えぐみ控えめの煮干し中華そば,https://tabelog.com/ramen/tokyo/A1311/A131104/rank
メルシー,東京都,新宿区,新宿区・早稲田駅,中華そば,醤油・中華そば,3.61,,早大生御用達の老舗（昭和43年創業）,https://tabelog.com/ramen/tokyo/A1305/A130504/rank
マルナカ,東京都,新宿区,新宿区・牛込神楽坂駅,ラーメン,その他・創作,3.61,,エリアの好店,https://tabelog.com/ramen/tokyo/A1309/A130905/rank
鶏soba座銀 神楽坂東京本店,東京都,新宿区,新宿区・飯田橋駅,鶏白湯,鶏白湯,3.61,,濃厚鶏白湯の人気店,https://tabelog.com/ramen/tokyo/A1309/A130905/rank
麺処 さとう,東京都,板橋区,板橋区・本蓮沼駅,中華そば・つけ麺,つけ麺/醤油・中華そば,3.61,,東十条「ほん田」出身、A2出口至近の小箱高品質,https://tabelog.com/tokyo/A1322/A132205/13150197
拉麺 アイオイ,東京都,板橋区,板橋区・志村三丁目駅,煮干し/生姜/背脂・味噌,煮干し/味噌,3.61,,自家製にこだわる実力店、駅前移転,https://tabelog.com/tokyo/A1322/A132205/13262946
麺処 竹川,東京都,渋谷区,渋谷区・神泉駅,無添加つけ麺・鶏そば,つけ麺,3.61,,円山町の路地裏の全席個室の隠れ家／駅2分・月火休,https://tabelog.com/tokyo/A1303/A130301/13178370
蘭州（参考）,東京都,葛飾区,葛飾区・京成立石駅,餃子・中華,その他・創作,3.61,,手作り水餃子が名物（現在は羊料理も・夜中心）,https://tabelog.com/tokyo/A1324/A132403/13293049
らーめん弁慶 堀切店,東京都,葛飾区,葛飾区・堀切菖蒲園駅,背脂豚骨,豚骨・博多,3.61,,創業50年超(浅草本店系列)の下町ラーメン／駅7分,https://tabelog.com/tokyo/A1324/A132403/13010809
無敵家,東京都,豊島区,豊島区・池袋駅,豚骨醤油,豚骨・博多/醤油・中華そば,3.61,,超有名行列店、観光定番,https://tabelog.com/tokyo/A1305/A130501/13003927
中華そば 葵 本店,埼玉県,川口・蕨・戸田,川口・蕨・戸田・蕨駅,あっさり中華そば,醤油・中華そば,3.6,,上記「濃厚鶏そば 葵」系列、澄んだ醤油清湯,https://tabelog.com/saitama/A1102/A110201/11052531
大勝軒 一ノ割店,埼玉県,越谷・草加・春日部,越谷・草加・春日部・一ノ割駅,つけ麺・ラーメン,つけ麺,3.6,,東池袋系、つけ麺・ワンタン麺,https://tabelog.com/ramen/saitama/A1102/A110204/rank
麺屋 加減,東京都,台東区,台東区・新御徒町駅,ラーメン,その他・創作,3.6,,浅草橋・新御徒町の高評価店,https://tabelog.com/ramen/tokyo/A1311/A131103/rank
来集軒,東京都,台東区,台東区・浅草駅,町中華（東京ラーメン）,その他・創作,3.6,,1950年創業の老舗、まろやか醤油＋シューマイ／駅1分・火休,https://tabelog.com/tokyo/A1311/A131102/13010513
荏原町 しなてつ,東京都,品川区,品川区・旗の台駅,中華そば,醤油・中華そば,3.6,,目黒「かづ屋」出身、看板「支那そば」／荏原町・月休,https://tabelog.com/tokyo/A1317/A131712/13106902
煮干し中華そば のじじR,東京都,墨田区,墨田区・本所吾妻橋駅,煮干し中華そば,煮干し/醤油・中華そば,3.6,,煮干濃度を選べる個性派,https://tabelog.com/tokyo/A1312/A131203/13211489
神楽坂家系ラーメン モンタナ,東京都,新宿区,新宿区・牛込神楽坂駅,家系,家系,3.6,,牛込神楽坂至近の家系,https://cookpit.jp/station-ramen/station-ramen-112061
麺屋 わおん,東京都,杉並区,杉並区・上井草駅,ラーメン・つけ麺,つけ麺,3.6,,高評価店,https://tabelog.com/tokyo/A1321/A132105/R2602/rstLst/ramen
麺庵 小島流 板橋本町本店,東京都,板橋区,板橋区・板橋本町駅,無化調中華そば,醤油・中華そば,3.6,,元イタリアンシェフ、行列店,https://tabelog.com/ramen/tokyo/A1322/A132205/rank
ラーメンみなみ,東京都,江戸川区,江戸川区・葛西駅,ラーメン,その他・創作,3.6,,葛西の高評価店,https://tabelog.com/ramen/tokyo/A1313/A131305/rank
らーめん弁慶 門前仲町店,東京都,江東区,江東区・門前仲町駅,背脂豚骨醤油,豚骨・博多/醤油・中華そば,3.6,,背脂チャッチャ系の老舗,https://tabelog.com/tokyo/A1313/A131303/13008468
中華蕎麦 縁（えん）,東京都,江東区,江東区・住吉駅,ラーメン,その他・創作,3.6,,駅1分,https://tabelog.com/tokyo/C13108/rstLst/ramen
特麺コツ一丁ラーメン,東京都,渋谷区,渋谷区・幡ヶ谷駅,こってり豚骨醤油,豚骨・博多/醤油・中華そば,3.6,,ホープ軒系譜、駅徒歩2分,https://tabelog.com/tokyo/A1318/A131807/13016490
赤坂 麺処 友,東京都,港区,港区・赤坂駅,醤油（あごだし）,醤油・中華そば,3.6,,焼きあご＋真昆布のWスープ,https://tabelog.com/ramen/tokyo/A1308/A130801/rank
淳之助製麺所,東京都,練馬区,練馬区・中村橋駅・富士見台駅,ラーメン・つけ麺,つけ麺,3.6,,ムチムチ極太麺＋濃厚つけ汁（富士見台2分）,https://tabelog.com/tokyo/A1321/A132102/13268533
蓮爾（はすみ）登戸店,神奈川県,川崎市北部,川崎市北部・登戸駅 / 向ヶ丘遊園駅,二郎インスパイア,二郎・二郎系,3.6,,超極太麺・コール制、区内2位,https://tabelog.com/kanagawa/A1405/A140506/14003791
大﨑家,神奈川県,川崎市南部,川崎市南部・鹿島田駅,家系,家系,3.6,,鹿島田・新川崎で根強い人気,https://tabelog.com/ramen/kanagawa/A1405/A140503/rank
まかない へきる,埼玉県,さいたま市,さいたま市・武蔵浦和駅,ラーメン・つけ麺,つけ麺,3.59,,武蔵浦和圏の最高評価クラス,https://tabelog.com/ramen/saitama/A1101/A110102/rank
武蔵家 大宮店,埼玉県,さいたま市北部,さいたま市北部・大宮駅,横浜家系,家系,3.59,,東口1分、濃厚豚骨醤油・ライス無料,https://tabelog.com/ramen/saitama/A1101/A110101/rank
親鶏中華そば 綾川 大成店,埼玉県,さいたま市北部,さいたま市北部・鉄道博物館,親鶏出汁の手打ち中華そば,醤油・中華そば,3.59,,恵比寿の名店系列、塩は当店限定、駅6分,https://tabelog.com/saitama/A1101/A110101/R1811/rstLst/ramen
めんや 正明,埼玉県,西武沿線エリア,西武沿線エリア・志木駅,ラーメン,その他・創作,3.59,,志木エリア最高評価クラス、駅3分・水休,https://tabelog.com/saitama/A1103/A110302/R4568/rstLst/ramen
らあめん 英（はなぶさ）本店,東京都,世田谷区,世田谷区・経堂駅,中華そば,醤油・中華そば,3.59,,経堂の長年の定番、コスパ良好,https://tabelog.com/ramen/tokyo/A1318/A131813/rank
鮎ラーメン 二子玉川本店,東京都,世田谷区,世田谷区・二子玉川駅,鮎だしラーメン,貝・魚介系,3.59,,2003年創業の名物、鮎の風味,https://tabelog.com/ramen/tokyo/A1317/A131708/rank
京都銀閣寺 ますたに 日本橋本店,東京都,中央区,中央区・日本橋駅,醤油（京都背脂）,醤油・中華そば/ご当地・地域系,3.59,,背脂×鶏ガラ醤油,https://tabelog.com/tokyo/A1302/A130202/13253228
支那そば はせべ,東京都,品川区,品川区・五反田駅,醤油（淡麗）,醤油・中華そば,3.59,,あっさり支那そば,https://tabelog.com/ramen/tokyo/A1316/A131603/rank
横浜家系ラーメン 武道家 賢斗,東京都,江東区,江東区・東陽町駅,家系,家系,3.59,,駅3分,https://tabelog.com/tokyo/A1313/A131303/13194530
らすた 代々木店,東京都,渋谷区,渋谷区・代々木駅,家系,家系,3.59,,濃厚豚骨醤油・特注卵麺,https://tabelog.com/tokyo/A1304/A130403/13019788
麺うらた,東京都,目黒区,目黒区・自由が丘駅,塩SOBA・昆布水つけSOBA,塩,3.59,,トリュフ油が香る塩／北口すぐ・無休,https://tabelog.com/tokyo/A1317/A131703/13260652
焼豚ラーメン 三條 葛飾店,東京都,葛飾区,葛飾区・堀切菖蒲園駅,焼豚ラーメン,その他・創作,3.59,,旨みと辛味のバランス／駅89m,https://tabelog.com/tokyo/A1324/A132403/R9077/rstLst/ramen
じゃっくぽっと,東京都,足立区,足立区・北綾瀬駅,二郎インスパイア,二郎・二郎系,3.59,,大盛り対応、初心者でも入りやすい／駅1分,https://tabelog.com/tokyo/A1324/A132404/13301088
荻窪中華そば 春木屋 ラゾーナ川崎プラザ店,神奈川県,川崎市南部,川崎市南部・川崎駅,中華そば,醤油・中華そば,3.59,,荻窪の老舗の支店、ラゾーナ内,https://tabelog.com/ramen/kanagawa/A1405/A140501/rank
横浜家系らーめん 雷家,神奈川県,川崎市南部,川崎市南部・八丁畷駅,家系,家系,3.59,,安定の家系、駅7分,https://tabelog.com/kanagawa/A1405/A140502/R7953/rstLst/ramen
長岡食堂 横浜西口店,神奈川県,横浜中心部,横浜中心部,生姜醤油,醤油・中華そば,3.59,,新潟・長岡発祥の生姜醤油（平沼橋寄り）,https://tabelog.com/ramen/kanagawa/A1401/A140101/rank
横浜ラーメン 北村家,神奈川県,横浜北部,横浜北部・青葉台駅,家系,家系,3.59,,青葉台の家系定番,https://tabelog.com/ramen/kanagawa/A1401/A140202/rank
中華そば さとう,神奈川県,湘南・県西,湘南・県西・大船駅,中華そば,醤油・中華そば,3.59,,大船エリア最高評価、上品な一杯,https://tabelog.com/ramen/kanagawa/A1404/A140401/rank
川口トラちゃんラーメン,埼玉県,川口・蕨・戸田,川口・蕨・戸田・川口駅,ラーメン・つけ麺,つけ麺,3.58,,地元で長く愛される定番、家系寄り,https://tabelog.com/saitama/A1102/A110201/R2843/rstLst/ramen
麺匠 喜楽々（きらら）,埼玉県,川口・蕨・戸田,川口・蕨・戸田・東川口駅,ラーメン・つけ麺・塩担々麺,つけ麺/担々麺・四川・麻婆/塩,3.58,,駅2分、エリア最高評価クラス,https://tabelog.com/saitama/A1102/A110201/R8182/rstLst/ramen
讃岐ラーメン 香麦（こうむぎ）,埼玉県,川越・東武東上線,川越・東武東上線・南大塚駅,讃岐系,その他・創作,3.58,,南大塚エリアの讃岐系,https://tabelog.com/ramen/saitama/A1103/A110303/rank
樹真（じゅしん）,埼玉県,西武沿線エリア,西武沿線エリア・和光市駅,ラーメン・つけ麺,つけ麺,3.58,,和光市エリア最高評価、濃厚スープ＋中細麺、駅4分・水休,https://tabelog.com/saitama/A1103/A110301/R10694/rstLst/ramen
麺や豊,埼玉県,越谷・草加・春日部,越谷・草加・春日部・武里駅,ラーメン,その他・創作,3.58,,無化調・国産若鶏スープ、わんたんめん（春日部）,https://tabelog.com/ramen/saitama/A1102/A110204/rank
らぁ麺 吉井,東京都,中央区,中央区・月島駅,ラーメン,その他・創作,3.58,,低温調理の鴨チャーシューと芳醇スープ（月島・勝どき圏）,https://tabelog.com/tokyo/A1313/A131302/13252206
二代目えん寺,東京都,中野区,中野区・中野駅,ベジポタつけ麺,つけ麺,3.58,,ベジポタつけ麺の有名店／北口2分,https://tabelog.com/tokyo/A1319/A131902/13115487
ラーメン長山,東京都,台東区,台東区・鶯谷駅,豚骨醤油,豚骨・博多/醤油・中華そば,3.58,,濃厚鶏ガラ豚骨、大盛無料,https://tabelog.com/ramen/tokyo/A1311/A131104/rank
麺や 一途,東京都,品川区,品川区・武蔵小山駅,創作ラーメン,その他・創作,3.58,,フレンチ技法を採り入れた一杯,https://tabelog.com/tokyo/A1317/A131710/13161190
麺屋 焔（ほむら）,東京都,品川区,品川区・不動前駅・西小山駅,淡麗醤油,醤油・中華そば,3.58,,香り高い一杯／鮫洲徒歩圏,https://tabelog.com/tokyo/A1315/A131501/R4425/rstLst/ramen
邦ちゃんラーメン 両国店,東京都,墨田区,墨田区・両国駅,ちゃん系（透明醤油）,醤油・中華そば,3.58,,平打ち麺＋切り立てチャーシュー、ライス無料／東口1分,https://tabelog.com/tokyo/A1312/A131201/13293190
麺やひだまり,東京都,文京区,文京区・千駄木駅,無化調・淡麗（塩/醤油）,塩/醤油・中華そば,3.58,,岩塩ブレンドの塩、備長炭焼きチャーシュー,https://tabelog.com/tokyo/A1311/A131106/13129718
武道家 本店,東京都,新宿区,新宿区・早稲田駅,家系,家系,3.58,,早稲田の家系の定番,https://tabelog.com/ramen/tokyo/A1305/A130504/rank
タロー軒,東京都,杉並区,杉並区・新高円寺駅,中華そば,醤油・中華そば,3.58,,創業50年超・24時間営業の老舗,https://tabelog.com/ramen/tokyo/A1319/A131904/rank
麺屋すみす,東京都,港区,港区・表参道駅,鶏白湯,鶏白湯,3.58,,鶏チャーシュー・鶏団子（外苑前・青山1位）,https://tabelog.com/ramen/tokyo/A1306/A130603/rank
東京らあめんタワー 芝大門本店,東京都,港区,港区・芝公園駅・御成門駅,醤油・塩,塩/醤油・中華そば,3.58,,甘露醤油のらあめん／つけ麺も（大門〜芝公園圏）,https://tabelog.com/ramen/tokyo/A1314/A131401/rank
麺心 國もと,東京都,葛飾区,葛飾区・京成高砂駅,ラーメン・つけ麺,つけ麺,3.58,,「麺屋武蔵」出身、清湯の特製らーめん／駅至近,https://tabelog.com/tokyo/A1324/A132403/13134181
ラーメン泪橋,神奈川県,川崎市北部,川崎市北部・溝の口駅 / 武蔵溝ノ口駅,二郎インスパイア,二郎・二郎系,3.58,,マンモスラーメン、駅6分,https://tabelog.com/kanagawa/A1405/A140505/14053459
横浜家系ラーメン 中島家,神奈川県,横浜中心部,横浜中心部,家系,家系,3.58,,鶏油香るまろやか系（反町）,https://tabelog.com/ramen/kanagawa/A1401/A140205/rank
武蔵家 日吉店,神奈川県,横浜北部,横浜北部・日吉駅,家系,家系,3.58,,「ひようら」の家系代表格、ライス無料,https://tabelog.com/ramen/kanagawa/A1401/A140204/rank
中華そば ひら井 たまプラーザ店,神奈川県,横浜北部,横浜北部・市が尾駅,中華そば,醤油・中華そば,3.58,,淡麗系の人気店（たまプラーザ）,https://tabelog.com/ramen/kanagawa/A1401/A140201/rank
境華楼,神奈川県,横浜南西部,横浜南西部・三ツ境駅,中華（ラーメン含む）,その他・創作,3.58,百名店,中国料理EAST百名店2026の町中華、エリア最高,https://tabelog.com/kanagawa/C14114/rstLst/ramen
ラーメン 清水家,神奈川県,湘南・県西,湘南・県西・辻堂駅,ラーメン（家系系）,家系,3.58,,辻堂の定番,https://tabelog.com/ramen/kanagawa/A1404/A140404/rank
トーフラーメン 幸楊（こうよう）,埼玉県,さいたま市,さいたま市・西浦和駅,豆腐ラーメン,その他・創作,3.57,,さいたまご当地、豆腐ラーメン考案者の店、木休,https://tabelog.com/saitama/A1101/A110102/11000797
ラーメン 鷹の目 獨協大学前本店,埼玉県,越谷・草加・春日部,越谷・草加・春日部・草加駅,二郎系,二郎・二郎系,3.57,,二郎インスパイア、辛揚げが名物,https://tabelog.com/saitama/A1102/A110203/11040563
らぁ麺 時は麺なり 経堂店,東京都,世田谷区,世田谷区・経堂駅,らぁ麺・つけ麺,つけ麺,3.57,,素材設計に意図のある一杯,https://tabelog.com/ramen/tokyo/A1318/A131813/rank
汁なし担担麺ピリリ,東京都,中央区,中央区・水天宮前駅,汁なし担々麺,担々麺・四川・麻婆/油そば・まぜそば・汁なし,3.57,,人気の汁なし担々麺,https://tabelog.com/tokyo/A1302/A130204/13197440
竹岡式ラーメン まる竹,東京都,中央区,中央区・馬喰横山駅,醤油（竹岡式）,醤油・中華そば/ご当地・地域系,3.57,,千葉・竹岡式の醤油,https://tabelog.com/tokyo/A1302/A130204/13269208
おうじ家,東京都,北区,北区・王子駅,横浜家系,家系,3.57,,武蔵家暖簾分け、ライス無料／駅前2-3分,https://tabelog.com/tokyo/A1323/A132303/13245294
ラーメン富士丸 西早稲田店,東京都,新宿区,新宿区・西早稲田駅 / 新宿区・東新宿駅,二郎系,二郎・二郎系,3.57,,人気の二郎インスパイア,https://tabelog.com/ramen/tokyo/A1305/A130504/rank
らーめん からしや 葛西本店,東京都,江戸川区,江戸川区・葛西駅,まぜそば系,油そば・まぜそば・汁なし,3.57,,名物「からし麺」,https://tabelog.com/ramen/tokyo/A1313/A131305/rank
らーめん なが田,東京都,江東区,江東区・亀戸水神駅,ラーメン,その他・創作,3.57,,地元評価が高くコスパ良／駅徒歩圏,https://tabelog.com/tokyo/A1307/A130701/R2765/rstLst/MC0130
貝そば もぉむ,東京都,港区,港区・田町駅,貝出汁,貝・魚介系,3.57,,貝出汁ラーメン,https://tabelog.com/ramen/tokyo/A1314/A131402/rank
百麺（ぱいめん）中目黒店,東京都,目黒区,目黒区・中目黒駅,とんこつ醤油,豚骨・博多/醤油・中華そば,3.57,,新潟県産豚骨18時間炊き、20周年超／駅3分,https://tabelog.com/tokyo/A1317/A131701/13003459
麺処 いのこ 平和台店,東京都,練馬区,練馬区・平和台駅,鶏白湯・つけ麺・まぜそば,つけ麺/鶏白湯/油そば・まぜそば・汁なし,3.57,,クリーミーで重すぎない鶏白湯の行列店／駅6分,https://tabelog.com/tokyo/A1322/A132202/R8960/rstLst/ramen
麺家 千祥（せんしょう）,東京都,荒川区,荒川区・町屋駅,家系,家系,3.57,,王道豚骨醤油＋サービスライス,https://tabelog.com/tokyo/A1324/A132401/13234960
綾瀬 大勝軒,東京都,足立区,足立区・綾瀬駅,つけ麺,つけ麺,3.57,,東池袋大勝軒系の王道つけ麺／東口3分,https://tabelog.com/tokyo/A1324/A132404/13020463
横浜らーめん 武蔵家 綾瀬店,東京都,足立区,足立区・北綾瀬駅,家系,家系,3.57,,濃厚豚骨醤油＋太麺の家系王道／駅3分,https://tabelog.com/ramen/tokyo/A1324/A132404/rank
鴨だしらぁ麺 轟,神奈川県,川崎市北部,川崎市北部・梶が谷駅,鴨出汁清湯,鴨/醤油・中華そば,3.57,,洗練された鴨出汁らぁ麺、徒歩圏,https://tabelog.com/kanagawa/A1405/A140505/14081841
鴨と蟹 中華そば 燈（あかり）,神奈川県,川崎市北部,川崎市北部・登戸駅 / 向ヶ丘遊園駅,鴨と蟹の中華そば,鴨/醤油・中華そば,3.57,,洗練系（登戸/向ヶ丘遊園）,https://tabelog.com/ramen/kanagawa/A1405/A140506/rank
横浜ラーメン 斎藤家 根岸店,神奈川県,横浜南西部,横浜南西部・磯子駅 / 根岸駅,家系,家系,3.57,,生ガラ濃厚、全国総選挙8位、根岸8分・火休,https://tabelog.com/kanagawa/A1401/A140308/14087964
金八家,神奈川県,横浜南西部,横浜南西部・金沢文庫駅,家系,家系,3.57,,手頃で満足度高い横浜家系,https://tabelog.com/ramen/kanagawa/A1401/A140310/rank
娘娘（にゃんにゃん）※中浦和系,埼玉県,さいたま市,さいたま市・中浦和駅,スタミナラーメン,その他・創作,3.56,,埼玉ソウルフード「スタミナラーメン」発祥系列,https://tabelog.com/saitama/A1101/A110102/11000107
手揉み中華そば いしま,埼玉県,さいたま市,さいたま市・与野本町駅,手揉み中華そば（淡麗醤油）,醤油・中華そば,3.56,,2023年開業、手揉み麺＋あっさり醤油、東口2分,https://tabelog.com/saitama/A1101/A110101/11061065
自家製麺 TANGO,埼玉県,さいたま市,さいたま市・西浦和駅,ラーメン・つけ麺,つけ麺,3.56,,自家製麺の実力店,https://tabelog.com/saitama/A1101/A110102/11051807
麺屋 時茂 西川口店,埼玉県,川口・蕨・戸田,川口・蕨・戸田・西川口駅,濃厚豚骨・つけ麺,つけ麺/豚骨・博多,3.56,,濃厚豚骨×中太麺,https://tabelog.com/saitama/A1102/A110201/R7390/rstLst/ramen
デカ盛り戦隊 豚レンジャー,埼玉県,西武沿線エリア,西武沿線エリア・和光市駅,ラーメン・まぜそば,油そば・まぜそば・汁なし,3.56,,濃厚スープ＋太麺、ボリューム満点、駅8分,https://tabelog.com/saitama/A1103/A110301/R10694/rstLst/ramen
中華キッチン ぐら,埼玉県,越谷・草加・春日部,越谷・草加・春日部・越谷駅,担々麺・中華,担々麺・四川・麻婆,3.56,,濃厚な辛さと旨味の担々麺、駅428m,https://tabelog.com/saitama/A1102/A110203/R3982/rstLst/ramen
